AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR,Red
10.1,0.14,1.02,-0.05,0.02,-0.01,124325,29318
10.08,0.15,1.04,-0.05,0.02,-0.01,124386,29283
10.08,0.1,1.05,-0.05,0.02,-0.01,124046,29233
10.07,0.14,1.07,-0.06,0.02,-0.01,123897,29244
10.06,0.11,1.07,-0.05,0.02,-0.01,124016,29250
10.11,0.16,1.0,-0.05,0.02,-0.01,124202,29321
10.08,0.12,1.07,-0.05,0.02,-0.01,124285,29329
10.08,0.17,1.07,-0.05,0.02,-0.01,124357,29340
10.06,0.12,1.01,-0.05,0.02,-0.01,124546,29347
10.12,0.16,1.0,-0.05,0.02,-0.01,124620,29350
10.08,0.13,1.08,-0.05,0.02,-0.01,124539,29320
10.09,0.15,1.05,-0.05,0.02,-0.01,124616,29331
10.08,0.12,0.98,-0.05,0.02,-0.01,124811,29352
10.07,0.17,1.05,-0.05,0.02,-0.01,124923,29383
10.07,0.12,1.1,-0.05,0.03,-0.01,124988,29403
10.09,0.14,1.0,-0.05,0.02,-0.01,125075,29414
10.09,0.13,1.03,-0.05,0.02,-0.01,125129,29406
10.08,0.12,1.06,-0.05,0.02,-0.01,125129,29385
10.06,0.13,1.05,-0.05,0.02,-0.01,125173,29395
10.09,0.12,1.02,-0.05,0.02,-0.01,125243,29396
10.08,0.13,0.99,-0.05,0.02,-0.01,125277,29370
10.11,0.17,1.05,-0.05,0.02,-0.01,125048,29330
10.12,0.11,1.04,-0.05,0.02,-0.01,124677,29300
10.12,0.13,1.07,-0.05,0.02,-0.01,124454,29294
10.1,0.16,1.03,-0.05,0.02,-0.01,124463,29324
10.06,0.14,1.04,-0.05,0.02,-0.01,124444,29287
10.11,0.14,1.04,-0.05,0.02,-0.01,124364,29267
10.1,0.13,1.02,-0.05,0.02,-0.01,124395,29271
10.07,0.12,1.05,-0.05,0.02,-0.01,124477,29273
10.11,0.14,1.04,-0.05,0.02,-0.01,124459,29257
10.13,0.12,1.06,-0.05,0.02,-0.01,124475,29266
10.09,0.15,1.03,-0.05,0.02,-0.01,124536,29275
10.1,0.14,1.03,-0.05,0.02,-0.01,124599,29300
10.13,0.12,1.05,-0.05,0.02,-0.01,124703,29336
10.12,0.14,1.03,-0.05,0.02,-0.01,124831,29333
10.08,0.15,1.06,-0.05,0.02,-0.01,124897,29341
10.12,0.14,1.06,-0.05,0.02,-0.01,124936,29336
10.11,0.11,1.01,-0.05,0.02,-0.01,124997,29353
10.11,0.13,1.0,-0.05,0.02,-0.01,125150,29372
10.12,0.14,1.06,-0.05,0.02,-0.01,125242,29348
10.1,0.12,1.01,-0.05,0.02,-0.01,125061,29317
10.08,0.14,1.03,-0.05,0.02,-0.01,124810,29322
10.1,0.12,1.06,-0.05,0.02,-0.01,124673,29324
10.09,0.13,1.01,-0.05,0.02,-0.01,124680,29330
10.14,0.12,1.03,-0.05,0.02,-0.01,124674,29333
10.11,0.14,0.99,-0.05,0.02,-0.01,124589,29297
10.09,0.12,1.05,-0.05,0.02,-0.01,124587,29309
10.13,0.11,1.04,-0.05,0.02,-0.01,124725,29312
10.11,0.12,1.04,-0.05,0.02,-0.01,124706,29283
10.1,0.13,1.07,-0.05,0.02,-0.01,124693,29303
10.14,0.12,1.07,-0.05,0.02,-0.01,124808,29325
10.08,0.11,1.04,-0.05,0.02,-0.01,124888,29350
10.08,0.15,1.0,-0.05,0.02,-0.01,124980,29378
10.11,0.12,1.06,-0.05,0.02,-0.01,125043,29374
10.12,0.13,1.06,-0.05,0.03,-0.01,125033,29347
10.09,0.14,1.02,-0.05,0.03,-0.01,124999,29339
10.09,0.11,1.05,-0.05,0.02,-0.01,125054,29348
10.13,0.15,1.06,-0.05,0.03,-0.01,125060,29322
10.07,0.1,1.05,-0.05,0.02,-0.01,125086,29306
10.09,0.15,1.04,-0.05,0.02,-0.01,124871,29270
10.07,0.12,1.05,-0.05,0.03,-0.01,124544,29271
10.13,0.12,1.05,-0.05,0.02,-0.01,124425,29281
10.12,0.13,1.06,-0.05,0.02,-0.01,124353,29258
10.06,0.13,1.06,-0.05,0.03,-0.01,124252,29237
10.09,0.13,1.08,-0.05,0.02,-0.02,124193,29235
10.09,0.1,1.07,-0.05,0.02,-0.01,124250,29238
10.08,0.13,1.05,-0.05,0.02,-0.01,124268,29225
9.97,0.11,1.12,-0.05,0.03,-0.01,124330,29237
10.14,0.12,1.05,-0.05,0.02,-0.01,124456,29245
10.08,0.11,1.05,-0.05,0.03,-0.01,124477,29269
10.07,0.16,1.04,-0.05,0.03,-0.01,124598,29310
10.07,0.1,1.11,-0.05,0.02,-0.01,124744,29314
10.12,0.11,1.0,-0.05,0.02,-0.01,124827,29306
10.07,0.1,1.08,-0.05,0.03,-0.01,124840,29298
10.11,0.12,1.09,-0.05,0.02,-0.01,124897,29296
10.1,0.12,1.08,-0.05,0.02,-0.01,125030,29300
10.08,0.14,1.02,-0.05,0.02,-0.01,125227,29335
10.07,0.14,1.05,-0.05,0.02,-0.01,125298,29332
10.11,0.1,1.07,-0.05,0.02,-0.01,125052,29324
10.08,0.13,1.12,-0.05,0.02,-0.02,124762,29296
10.07,0.11,1.03,-0.05,0.02,-0.01,124617,29286
10.09,0.15,1.07,-0.05,0.02,-0.01,124584,29276
10.11,0.15,1.11,-0.05,0.02,-0.01,124568,29266
10.07,0.13,1.03,-0.05,0.02,-0.01,124494,29253
10.07,0.13,1.06,-0.05,0.02,-0.01,124561,29262
10.09,0.11,1.09,-0.06,0.02,-0.01,124677,29275
10.11,0.13,1.07,-0.05,0.02,-0.01,124672,29297
10.07,0.11,1.07,-0.05,0.02,-0.01,124670,29300
10.07,0.11,1.06,-0.05,0.02,-0.01,124701,29307
10.09,0.15,1.08,-0.05,0.02,-0.01,124738,29302
10.07,0.11,1.05,-0.05,0.02,-0.01,124860,29324
10.09,0.11,1.03,-0.05,0.02,-0.01,124955,29317
10.13,0.12,1.03,-0.05,0.02,-0.01,124942,29297
10.07,0.14,1.12,-0.05,0.02,-0.01,125039,29310
10.08,0.1,1.04,-0.05,0.02,-0.01,125221,29342
10.1,0.15,1.02,-0.05,0.02,-0.01,125376,29380
10.08,0.12,1.09,-0.05,0.02,-0.01,125492,29403
10.08,0.09,0.99,-0.05,0.02,-0.01,125271,29357
10.07,0.18,1.02,-0.05,0.02,-0.01,125019,29318
10.07,0.09,1.09,-0.05,0.02,-0.01,124861,29297
10.1,0.12,1.04,-0.05,0.02,-0.01,125138,29350
10.1,0.14,1.01,-0.05,0.02,-0.01,125295,29378
10.07,0.16,1.06,-0.05,0.02,-0.01,125526,29413
10.08,0.13,1.03,-0.04,0.02,-0.01,125749,29428
10.08,0.12,1.02,-0.04,0.02,-0.01,125923,29458
10.12,0.16,1.03,-0.03,0.02,-0.01,126190,29514
10.09,0.15,1.04,-0.04,0.02,-0.01,126366,29540
10.11,0.13,1.04,-0.05,0.02,-0.01,126390,29523
10.1,0.12,1.05,-0.05,0.02,-0.01,126321,29506
10.07,0.14,1.07,-0.05,0.03,-0.01,126008,29447
10.11,0.15,1.05,-0.05,0.02,-0.01,125801,29440
10.11,0.12,1.01,-0.05,0.02,-0.01,125772,29440
10.09,0.13,1.03,-0.05,0.02,-0.01,125797,29419
10.12,0.14,1.06,-0.05,0.02,-0.01,125729,29409
10.12,0.12,1.01,-0.05,0.02,-0.01,125662,29422
10.12,0.14,0.98,-0.05,0.03,-0.01,125597,29420
10.05,0.12,1.04,-0.05,0.02,-0.01,125516,29403
10.12,0.13,1.07,-0.05,0.02,-0.01,125367,29363
10.13,0.14,1.03,-0.05,0.02,-0.01,125291,29352
10.08,0.11,1.07,-0.05,0.02,-0.01,125258,29340
10.1,0.16,1.02,-0.05,0.03,-0.01,125230,29312
10.1,0.13,1.04,-0.05,0.02,-0.01,125271,29330
10.13,0.13,1.05,-0.05,0.02,-0.01,125402,29351
10.1,0.13,1.05,-0.05,0.02,-0.01,125440,29372
10.12,0.12,1.06,-0.05,0.03,-0.01,125452,29380
10.13,0.14,1.0,-0.05,0.02,-0.01,125504,29384
10.1,0.12,1.07,-0.05,0.02,-0.01,125600,29381
10.1,0.14,1.08,-0.05,0.03,-0.01,125624,29373
10.13,0.15,1.04,-0.05,0.02,-0.01,125359,29331
9.91,0.11,1.1,-0.05,0.02,-0.01,125261,29331
10.04,0.12,1.0,-0.05,0.03,-0.01,125351,29359
10.15,0.15,1.01,-0.05,0.02,-0.02,125439,29398
10.11,0.11,1.12,-0.05,0.02,-0.01,125352,29389
10.09,0.14,1.03,-0.05,0.02,-0.02,125171,29365
10.08,0.1,1.08,-0.05,0.02,-0.01,125217,29371
10.11,0.16,1.1,-0.05,0.03,-0.01,125406,29401
10.11,0.11,1.0,-0.05,0.02,-0.01,125573,29428
10.1,0.13,1.07,-0.05,0.02,-0.01,125649,29412
10.13,0.14,1.1,-0.05,0.03,-0.01,125654,29408
10.1,0.11,1.02,-0.05,0.03,-0.01,125686,29417
10.06,0.14,1.07,-0.05,0.02,-0.01,125750,29444
10.09,0.11,1.09,-0.05,0.03,-0.01,125822,29467
10.12,0.12,1.03,-0.05,0.02,-0.01,125883,29459
10.1,0.12,1.06,-0.05,0.03,-0.01,125946,29479
10.09,0.13,1.07,-0.05,0.02,-0.01,126087,29478
10.11,0.16,1.09,-0.05,0.02,-0.01,126149,29472
10.08,0.1,1.01,-0.05,0.03,-0.01,126086,29439
10.07,0.12,1.05,-0.05,0.03,-0.01,125808,29383
10.11,0.14,1.06,-0.05,0.02,-0.01,125535,29373
10.12,0.12,1.12,-0.05,0.02,-0.01,125559,29406
10.09,0.12,1.01,-0.05,0.02,-0.01,125567,29424
10.1,0.15,1.05,-0.05,0.02,-0.01,125522,29411
10.08,0.1,1.09,-0.05,0.03,-0.01,125429,29398
10.1,0.13,1.02,-0.05,0.03,-0.01,125368,29368
10.07,0.1,1.06,-0.05,0.02,-0.01,125402,29371
10.09,0.17,1.07,-0.05,0.02,-0.02,125418,29368
10.07,0.1,1.05,-0.05,0.02,-0.01,125399,29357
10.08,0.14,1.03,-0.05,0.02,-0.01,125518,29374
10.08,0.12,1.07,-0.05,0.03,-0.01,125538,29379
10.06,0.13,1.07,-0.05,0.02,-0.01,125580,29407
10.08,0.13,1.04,-0.05,0.02,-0.02,125699,29447
10.08,0.15,1.05,-0.05,0.02,-0.02,125740,29435
10.08,0.13,1.04,-0.05,0.02,-0.02,125622,29382
10.08,0.12,1.02,-0.06,0.02,-0.01,125552,29377
10.09,0.15,1.01,-0.06,0.02,-0.01,125532,29350
10.11,0.11,1.03,-0.06,0.02,-0.01,125531,29342
10.08,0.15,1.07,-0.05,0.01,-0.02,125630,29352
10.06,0.15,1.07,-0.06,0.02,-0.01,125396,29335
10.11,0.13,1.05,-0.07,0.03,-0.01,125016,29322
10.08,0.13,1.05,-0.06,0.02,-0.01,124703,29275
10.09,0.14,1.01,-0.06,0.02,-0.01,124493,29237
10.13,0.13,1.02,-0.05,0.02,-0.01,124412,29229
10.13,0.1,1.04,-0.05,0.02,-0.01,124399,29242
10.08,0.15,1.03,-0.05,0.02,-0.01,124628,29273
10.07,0.14,1.07,-0.05,0.02,-0.01,124924,29315
10.13,0.1,1.02,-0.05,0.02,-0.01,125079,29327
10.09,0.13,1.06,-0.05,0.02,-0.01,125106,29352
10.09,0.15,1.07,-0.05,0.02,-0.01,125136,29361
10.09,0.11,1.02,-0.05,0.02,-0.01,125269,29363
10.12,0.12,1.03,-0.05,0.02,-0.01,125416,29360
10.11,0.14,1.01,-0.05,0.03,-0.01,125441,29342
10.1,0.13,1.05,-0.05,0.02,-0.02,125432,29333
10.11,0.14,1.02,-0.06,0.02,-0.02,125427,29316
10.09,0.15,1.04,-0.07,0.02,-0.01,125435,29326
10.07,0.14,1.03,-0.07,0.02,-0.02,125427,29351
10.11,0.14,1.05,-0.08,0.02,-0.01,125454,29365
10.1,0.15,1.03,-0.07,0.01,-0.02,125313,29325
10.08,0.17,1.03,-0.08,0.02,-0.02,124880,29276
10.1,0.12,1.02,-0.07,0.02,-0.02,124404,29215
10.14,0.15,1.0,-0.07,0.02,-0.02,123997,29163
10.09,0.15,1.05,-0.08,0.02,-0.02,123684,29138
10.08,0.14,1.07,-0.06,0.02,-0.01,123431,29111
10.09,0.14,1.06,-0.05,0.02,-0.02,123352,29108
10.13,0.15,1.01,-0.06,0.03,-0.01,123389,29148
10.1,0.14,1.04,-0.06,0.02,-0.01,123406,29167
10.11,0.16,1.05,-0.06,0.02,-0.01,123404,29161
10.1,0.13,1.04,-0.05,0.02,-0.01,123454,29158
10.08,0.17,1.05,-0.05,0.03,-0.01,123416,29150
10.09,0.12,1.08,-0.06,0.03,-0.01,123383,29150
10.12,0.14,1.1,-0.06,0.03,-0.01,123462,29151
10.1,0.12,1.04,-0.05,0.02,-0.01,123157,29124
10.1,0.11,1.09,-0.05,0.02,-0.02,123328,29163
10.11,0.15,1.04,-0.05,0.02,-0.01,123644,29205
10.09,0.09,1.03,-0.07,0.03,-0.01,123867,29233
10.09,0.15,1.05,-0.05,0.03,-0.01,124014,29218
10.08,0.12,1.06,-0.05,0.03,-0.01,124091,29214
10.09,0.15,1.02,-0.05,0.02,-0.01,124302,29226
10.07,0.12,1.04,-0.05,0.02,-0.01,124448,29231
10.09,0.15,1.03,-0.05,0.02,-0.01,124519,29214
10.07,0.14,1.07,-0.05,0.02,-0.01,124541,29228
10.11,0.11,1.07,-0.07,0.02,-0.02,124627,29237
10.05,0.12,1.05,-0.05,0.02,-0.01,124722,29270
10.11,0.15,1.03,-0.05,0.02,-0.01,124841,29302
10.08,0.11,1.04,-0.05,0.02,-0.01,124849,29273
10.08,0.16,1.03,-0.06,0.02,-0.02,124507,29219
10.07,0.15,1.03,-0.07,0.02,-0.01,124075,29170
10.1,0.17,1.01,-0.1,0.02,-0.01,123805,29149
10.07,0.13,1.04,-0.08,0.02,-0.01,123659,29129
10.13,0.12,1.02,-0.11,0.02,-0.02,123577,29102
10.09,0.15,1.07,-0.07,0.02,-0.01,123562,29118
10.1,0.14,1.03,-0.06,0.02,-0.01,123672,29164
10.07,0.08,1.03,-0.07,0.02,-0.01,123788,29194
10.08,0.13,1.04,-0.05,0.02,-0.01,124021,29249
10.08,0.1,1.04,-0.01,0.02,-0.01,124435,29314
10.11,0.16,0.97,-0.03,0.02,-0.01,124762,29335
10.09,0.13,1.02,-0.05,0.02,-0.01,124895,29355
10.09,0.16,1.02,-0.05,0.02,-0.01,125039,29349
10.09,0.16,0.99,-0.05,0.03,-0.01,124926,29295
10.1,0.12,1.02,-0.09,0.02,-0.01,124821,29305
10.1,0.12,1.02,-0.05,0.03,-0.01,124932,29336
10.15,0.2,1.08,-0.05,0.03,-0.01,125061,29383
10.09,0.04,0.96,-0.05,0.01,-0.02,125298,29402
10.09,0.16,1.05,-0.02,0.02,-0.01,125445,29397
10.07,0.3,0.94,-0.03,0.02,-0.02,125244,29352
10.08,0.13,1.02,-0.06,0.02,-0.01,124884,29310
10.13,0.13,1.0,-0.06,0.02,-0.01,124724,29271
10.11,0.12,0.98,-0.06,0.02,-0.01,124621,29260
10.08,0.17,1.07,-0.06,0.03,-0.01,124474,29267
10.11,0.11,1.03,-0.05,0.02,-0.01,124540,29319
10.11,0.11,0.98,-0.05,0.03,-0.01,124763,29343
10.1,0.18,1.01,-0.05,0.02,-0.01,124932,29346
10.12,0.14,1.06,-0.05,0.02,-0.02,124959,29338
10.13,0.15,1.04,-0.05,0.03,-0.01,124961,29329
10.09,0.15,1.01,-0.05,0.02,-0.02,124906,29306
10.08,0.16,1.05,-0.05,0.03,-0.01,124932,29314
10.09,0.12,1.03,-0.05,0.02,-0.01,125087,29330
10.11,0.13,1.03,-0.05,0.03,-0.01,125183,29359
10.06,0.13,1.07,-0.05,0.03,-0.01,125250,29388
10.11,0.12,1.04,-0.05,0.02,-0.01,125319,29375
10.16,0.14,1.06,-0.05,0.02,-0.01,125335,29342
10.09,0.11,1.05,-0.05,0.02,-0.01,125253,29320
10.09,0.12,1.07,-0.05,0.02,-0.01,124997,29294
10.11,0.13,1.03,-0.05,0.02,-0.01,124811,29251
10.12,0.12,1.04,-0.05,0.03,-0.01,124681,29249
10.08,0.13,1.05,-0.05,0.02,-0.02,124714,29291
10.1,0.15,1.12,-0.05,0.02,-0.01,124758,29304
10.12,0.15,1.03,-0.05,0.03,-0.01,124726,29284
10.06,0.14,1.07,-0.05,0.03,-0.01,124712,29285
10.11,0.14,1.07,-0.05,0.02,-0.01,124794,29282
10.07,0.12,1.09,-0.05,0.02,-0.01,124793,29279
10.13,0.14,1.06,-0.05,0.03,-0.01,124800,29255
10.07,0.14,1.07,-0.05,0.02,-0.01,124827,29267
10.11,0.13,1.07,-0.05,0.02,-0.02,124907,29279
10.11,0.15,1.04,-0.05,0.02,-0.01,124999,29303
10.06,0.13,1.01,-0.05,0.02,-0.01,125087,29327
10.07,0.16,1.07,-0.05,0.02,-0.01,125190,29320
10.1,0.11,1.1,-0.05,0.02,-0.01,125259,29318
10.1,0.15,1.04,-0.05,0.02,-0.02,125355,29319
10.07,0.12,1.0,-0.05,0.02,-0.01,125256,29297
10.09,0.14,1.07,-0.05,0.02,-0.01,124974,29265
10.1,0.13,1.08,-0.05,0.02,-0.01,124833,29240
10.09,0.14,1.04,-0.05,0.02,-0.01,124826,29250
10.08,0.14,1.03,-0.05,0.02,-0.01,124833,29283
10.11,0.15,1.05,-0.05,0.02,-0.02,124810,29292
10.07,0.12,1.0,-0.05,0.02,-0.01,124798,29284
10.08,0.13,1.02,-0.05,0.02,-0.01,124777,29272
10.1,0.15,1.01,-0.05,0.02,-0.01,124741,29256
10.11,0.14,1.08,-0.05,0.02,-0.01,124710,29254
10.09,0.15,1.02,-0.05,0.02,-0.01,124750,29248
10.11,0.14,0.97,-0.05,0.02,-0.01,124782,29237
10.09,0.16,1.07,-0.05,0.02,-0.02,124791,29246
10.05,0.09,1.05,-0.05,0.02,-0.02,124825,29264
10.08,0.19,0.98,-0.05,0.02,-0.01,124902,29293
10.1,0.13,1.06,-0.05,0.02,-0.01,124932,29302
10.09,0.13,1.07,-0.05,0.02,-0.01,124983,29300
10.1,0.13,1.05,-0.05,0.02,-0.01,125057,29294
10.09,0.14,1.02,-0.05,0.02,-0.02,125031,29276
10.07,0.14,1.05,-0.05,0.03,-0.01,124740,29233
10.07,0.11,1.03,-0.05,0.03,-0.01,124445,29189
10.13,0.12,1.03,-0.05,0.02,-0.01,124407,29195
10.09,0.15,1.02,-0.05,0.02,-0.01,124363,29191
10.12,0.14,1.01,-0.05,0.03,-0.01,124303,29194
10.1,0.14,1.04,-0.05,0.02,-0.01,124290,29214
10.1,0.14,0.96,-0.05,0.02,-0.01,124394,29218
10.11,0.17,1.02,-0.05,0.02,-0.01,124505,29216
10.1,0.14,1.05,-0.05,0.02,-0.01,124550,29223
10.11,0.11,1.03,-0.05,0.02,-0.02,124585,29236
10.08,0.15,1.04,-0.05,0.02,-0.01,124635,29234
10.1,0.13,1.05,-0.05,0.03,-0.01,124715,29229
10.12,0.12,1.0,-0.05,0.02,-0.01,124801,29244
10.1,0.13,1.07,-0.05,0.02,-0.01,124646,29261
10.12,0.13,1.01,-0.05,0.02,-0.01,124706,29281
10.1,0.14,1.05,-0.05,0.03,-0.01,124688,29292
10.09,0.15,1.09,-0.05,0.02,-0.01,124756,29296
10.11,0.11,1.03,-0.05,0.03,-0.01,124837,29277
10.09,0.15,1.04,-0.05,0.03,-0.01,124835,29267
10.07,0.12,1.08,-0.05,0.03,-0.01,124796,29260
10.09,0.13,1.08,-0.05,0.02,-0.01,124867,29254
10.1,0.12,1.01,-0.05,0.02,-0.02,125069,29285
10.07,0.14,1.07,-0.05,0.02,-0.01,125263,29322
10.09,0.12,1.11,-0.05,0.03,-0.01,125319,29325
10.07,0.13,1.05,-0.05,0.02,-0.01,125307,29326
10.08,0.09,1.05,-0.05,0.02,-0.01,125380,29331
10.08,0.12,1.09,-0.05,0.02,-0.01,125533,29350
10.09,0.14,1.07,-0.05,0.02,-0.01,125675,29362
10.08,0.11,1.05,-0.05,0.02,-0.01,125731,29359
10.05,0.17,1.03,-0.05,0.02,-0.01,125626,29352
10.07,0.14,1.03,-0.05,0.02,-0.01,125475,29333
10.09,0.15,1.1,-0.05,0.02,-0.01,125369,29362
10.08,0.15,1.05,-0.05,0.02,-0.01,125387,29384
10.13,0.11,1.04,-0.05,0.02,-0.01,125421,29380
10.1,0.15,1.09,-0.05,0.02,-0.01,125390,29386
10.07,0.13,1.02,-0.05,0.02,-0.01,125520,29386
10.08,0.14,1.03,-0.05,0.02,-0.01,125637,29383
10.09,0.15,1.09,-0.05,0.02,-0.01,125618,29377
10.07,0.13,1.03,-0.05,0.02,-0.01,125629,29344
10.11,0.14,1.01,-0.05,0.02,-0.01,125630,29357
10.08,0.11,1.03,-0.05,0.02,-0.01,125702,29384
10.05,0.16,1.07,-0.05,0.02,-0.01,125772,29401
10.07,0.14,1.06,-0.05,0.02,-0.02,125801,29403
10.1,0.13,1.04,-0.05,0.02,-0.01,125755,29386
10.1,0.16,1.01,-0.05,0.02,-0.01,125775,29376
10.09,0.13,1.04,-0.05,0.02,-0.01,125802,29381
10.11,0.15,1.01,-0.05,0.02,-0.01,125892,29381
10.09,0.13,1.0,-0.05,0.02,-0.01,125917,29353
10.11,0.15,1.03,-0.05,0.02,-0.02,125958,29366
10.1,0.13,1.01,-0.05,0.02,-0.01,125947,29364
10.1,0.14,1.04,-0.06,0.02,-0.01,125637,29344
10.1,0.15,1.03,-0.05,0.02,-0.01,125194,29310
10.05,0.13,1.04,-0.05,0.03,-0.01,124897,29290
10.12,0.17,0.98,-0.05,0.02,-0.01,124736,29250
10.1,0.08,1.04,-0.05,0.02,-0.01,124530,29222
10.09,0.18,1.06,-0.05,0.02,-0.01,124389,29220
10.09,0.11,1.02,-0.05,0.02,-0.01,124396,29218
10.1,0.16,1.01,-0.05,0.03,-0.01,124416,29214
10.09,0.13,1.07,-0.05,0.02,-0.01,124350,29202
10.09,0.15,1.02,-0.05,0.02,-0.01,124309,29227
10.15,0.12,1.03,-0.05,0.02,-0.01,124298,29245
10.1,0.12,1.04,-0.05,0.03,-0.01,124309,29254
10.09,0.17,1.05,-0.05,0.02,-0.01,124506,29279
10.08,0.13,1.03,-0.05,0.03,-0.01,124667,29278
10.11,0.15,1.06,-0.05,0.03,-0.01,124709,29278
10.1,0.15,1.03,-0.05,0.02,-0.01,124775,29286
10.11,0.15,1.05,-0.05,0.03,-0.01,124847,29273
10.11,0.13,1.04,-0.05,0.02,-0.01,124935,29290
10.08,0.15,1.04,-0.06,0.03,-0.01,124997,29316
10.11,0.1,1.09,-0.05,0.02,-0.01,125069,29341
10.13,0.17,1.02,-0.05,0.03,-0.01,124841,29298
10.09,0.11,1.06,-0.05,0.03,-0.01,124237,29225
10.1,0.13,1.07,-0.06,0.03,-0.01,123679,29152
10.09,0.14,1.07,-0.06,0.03,-0.01,123394,29139
10.12,0.12,1.03,-0.05,0.02,-0.01,123373,29135
10.04,0.15,1.05,-0.05,0.02,-0.01,123427,29129
10.12,0.12,1.08,-0.05,0.03,-0.01,123570,29171
10.09,0.12,1.05,-0.05,0.02,-0.01,123848,29200
10.1,0.15,1.03,-0.05,0.02,-0.01,123824,29190
10.07,0.18,0.98,-0.08,0.03,-0.01,123409,29146
10.12,0.06,1.17,-0.11,0.03,-0.01,123122,29120
10.15,0.12,1.08,-0.05,0.02,-0.01,123144,29107
10.02,0.11,0.99,-0.05,0.02,-0.01,123272,29130
10.05,0.18,1.02,-0.05,0.02,-0.01,123456,29153
10.08,0.1,1.08,-0.05,0.02,-0.01,123727,29200
10.1,0.1,1.07,-0.02,0.02,-0.01,124196,29277
10.12,0.14,1.05,-0.02,0.02,-0.01,124693,29333
10.1,0.15,1.09,-0.04,0.02,-0.01,125047,29412
10.1,0.17,1.06,-0.05,0.02,-0.01,125248,29450
10.07,0.15,1.06,-0.05,0.02,-0.01,125058,29380
10.08,0.16,1.04,-0.05,0.02,-0.01,124423,29298
10.09,0.11,1.07,-0.05,0.02,-0.01,124006,29282
10.09,0.14,1.06,-0.05,0.02,-0.01,124102,29313
10.09,0.12,1.02,-0.01,0.02,-0.01,124385,29342
10.08,0.18,1.0,-0.03,0.02,-0.01,124502,29349
10.09,0.16,1.03,-0.05,0.02,-0.01,124548,29371
10.09,0.13,1.02,-0.06,0.02,-0.01,124539,29376
10.1,0.14,1.04,-0.06,0.02,-0.01,124526,29373
10.08,0.14,1.06,-0.05,0.02,-0.01,124590,29378
10.11,0.13,1.01,-0.05,0.02,-0.01,124817,29398
10.13,0.15,1.03,-0.05,0.02,-0.01,125015,29400
10.12,0.14,1.05,-0.05,0.02,-0.01,125112,29405
10.1,0.11,1.0,-0.05,0.02,-0.01,125299,29408
10.1,0.13,1.06,-0.05,0.02,-0.01,125482,29445
10.1,0.14,1.01,-0.05,0.02,-0.01,125646,29493
10.11,0.15,1.02,-0.05,0.02,-0.01,125761,29511
10.1,0.14,1.02,-0.05,0.02,-0.01,125813,29515
10.13,0.08,1.0,-0.05,0.02,-0.01,125970,29542
10.11,0.12,1.05,-0.05,0.02,-0.01,126388,29603
10.12,0.3,0.95,0.02,0.02,-0.01,126283,29542
10.08,0.11,0.99,-0.06,0.03,-0.01,125667,29426
10.09,0.14,1.04,-0.08,0.02,-0.01,125266,29436
